Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,GDP ($ per capita)
Solomon Islands ,OCEANIA,552438,28450,19.4,18.67,0,21.29,,13.4,0.64,2,97.36,2,30.01,3.92,0.42,0.11,0.47,1700
Somalia ,AFRICA,8863338,637657,13.9,0.47,5.37,116.7,37.8,11.3,1.67,0.04,98.29,1,45.13,16.63,0.65,0.1,0.25,500
South Africa ,AFRICA,44187637,1219912,36.2,0.23,-0.29,61.81,86.4,107,12.08,0.79,87.13,1,18.2,22,25,303,671,10700
Spain ,EUROPE,40397842,504782,80,0.98,0.99,4.42,97.9,453.5,26.07,9.87,64.06,3,10.06,9.72,0.04,295,665,22000
Sri Lanka ,ASIA,20222240,65610,308.2,2.04,-1.31,14.35,92.3,61.5,13.86,15.7,70.44,2,15.51,6.52,178,276,545,3700
Sudan ,AFRICA,41236378,2505810,16.5,0.03,-0.02,62.5,61.1,16.3,6.83,0.18,92.99,2,34.53,8.97,387,203,0.41,1900
Suriname ,AMERICA,439117,163270,2.7,0.24,-8.81,23.57,93,184.7,0.37,0.06,99.57,2,18.02,7.27,0.13,0.22,0.65,4000
Swaziland ,AFRICA,1136334,17363,65.5,0,0,69.27,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,119,515,366,4900
Sweden ,EUROPE,9016596,449964,20,0.72,1.67,2.77,99,715,6.54,0.01,93.45,3,10.27,10.31,11,282,707,26800
Switzerland ,EUROPE,7523934,41290,182.2,0,4.05,4.39,99,680.9,10.42,0.61,88.97,3,9.71,8.49,15,0.34,645,32700
Syria ,ASIA,18881361,185180,102,0.1,0,29.53,76.9,153.8,25.22,4.43,70.35,1,27.76,4.81,249,0.23,519,3300
Taiwan ,ASIA,23036087,35980,640.3,4.35,0,6.4,96.1,591,24,1,75,2,12.56,6.48,18,259,723,23400
Tajikistan ,EUROPE,7320815,143100,51.2,0,-2.86,110.76,99.4,33.5,6.61,0.92,92.47,2,32.65,8.25,234,286,0.48,1000
Tanzania ,AFRICA,37445392,945087,39.6,0.15,-2.06,98.54,78.2,4,4.52,1.08,94.4,,37.71,16.39,432,172,396,600
Thailand ,ASIA,64631595,514000,125.7,0.63,0,20.48,92.6,108.9,29.36,6.46,64.18,2,13.87,7.04,99,441,0.46,7400
Togo ,AFRICA,5548702,56785,97.7,0.1,0,66.61,60.9,10.6,46.15,2.21,51.64,2,37.01,9.83,395,204,401,1500
Tonga ,OCEANIA,114689,748,153.3,56.02,0,12.62,98.5,97.7,23.61,43.06,33.33,2,25.37,5.28,0.23,0.27,0.5,2200
Trinidad & Tobago ,AMERICA,1065842,5128,207.9,7.06,-10.83,24.31,98.6,303.5,14.62,9.16,76.22,2,12.9,10.57,7,0.57,423,9500
Tunisia ,AFRICA,10175014,163610,62.2,0.7,-0.57,24.77,74.2,123.6,17.86,13.74,68.4,3,15.52,5.13,132,318,0.55,6900
Turkey ,ASIA,70413958,780580,90.2,0.92,0,41.04,86.5,269.5,30.93,3.31,65.76,3,16.62,5.97,117,298,585,6700
Turkmenistan ,EUROPE,5042920,488100,10.3,0,-0.86,73.08,98,74.6,3.72,0.14,96.14,1,27.61,8.6,209,0.38,411,5800
Turks & Caicos Is ,AMERICA,21152,430,49.2,90.47,11.68,15.67,98,269.5,2.33,0,97.67,2,21.84,4.21,,,,9600
Tuvalu ,OCEANIA,11810,26,454.2,92.31,0,20.03,,59.3,0,0,100,2,22.18,7.11,166,272,562,1100
Uganda ,AFRICA,28195754,236040,119.5,0,0,67.83,69.9,3.6,25.88,10.65,63.47,2,47.35,12.24,311,222,469,1400
Ukraine ,EUROPE,46710816,603700,77.4,0.46,-0.39,20.34,99.7,259.9,56.21,1.61,42.18,3,8.82,14.39,187,452,361,5400
United Arab Emirates ,ASIA,2602713,82880,31.4,1.59,1.03,14.51,77.9,475.3,0.6,2.25,97.15,1,18.96,4.4,0.04,585,375,23200
United Kingdom ,EUROPE,60609153,244820,247.6,5.08,2.19,5.16,99,543.5,23.46,0.21,76.33,3,10.71,10.13,5,237,758,27700
United States ,AMERICA,298444215,9631420,31,0.21,3.41,6.5,97,898,19.13,0.22,80.65,3,14.14,8.26,0.01,204,787,37800
Uruguay ,AMERICA,3431932,176220,19.5,0.37,-0.32,11.95,98,291.4,7.43,0.23,92.34,3,13.91,9.05,93,311,596,12800
Uzbekistan ,EUROPE,27307134,447400,61,0,-1.72,71.1,99.3,62.9,10.83,0.83,88.34,1,26.36,7.84,342,229,0.43,1700
Vanuatu ,OCEANIA,208869,12200,17.1,20.72,0,55.16,53,32.6,2.46,7.38,90.16,2,22.72,7.82,0.26,0.12,0.62,2900
Venezuela ,AMERICA,25730435,912050,28.2,0.31,-0.04,22.2,93.4,140.1,2.95,0.92,96.13,2,18.71,4.92,0.04,419,541,4800
Vietnam ,ASIA,84402966,329560,256.1,1.05,-0.45,25.95,90.3,187.7,19.97,5.95,74.08,2,16.86,6.22,209,0.41,381,2500
Virgin Islands ,AMERICA,108605,1910,56.9,9.84,-8.94,8.03,,652.8,11.76,2.94,85.3,2,13.96,6.43,0.01,0.19,0.8,17200
Wallis and Futuna ,OCEANIA,16025,274,58.5,47.08,,,50,118.6,5,25,70,2,,,,,,3700
West Bank ,ASIA,2460492,5860,419.9,0,2.98,19.62,,145.2,16.9,18.97,64.13,3,31.67,3.92,0.09,0.28,0.63,800
Western Sahara ,AFRICA,273008,266000,1,0.42,,,,,0.02,0,99.98,1,,,,,0.4,
Yemen ,ASIA,21456188,527970,40.6,0.36,0,61.5,50.2,37.2,2.78,0.24,96.98,1,42.89,8.3,135,472,393,800
Zambia ,AFRICA,11502010,752614,15.3,0,0,88.29,80.6,8.2,7.08,0.03,92.9,2,41,19.93,0.22,0.29,489,800
Zimbabwe ,AFRICA,12236805,390580,31.3,0,0,67.69,90.7,26.8,8.32,0.34,91.34,2,28.01,21.84,179,243,579,1900
